game_id,name,platform_id,year,genre_id,publisher_id,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
97,Super Mario Bros. 2,12,1988,5,369,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for Wii U and 3DS,3,2014,3,369,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,29,2008,9,17,4.79,1.9,0,0.69,7.37
100,Battlefield 3,29,2011,9,139,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,26,2006,1,369,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,31,2015,9,17,4.52,2.09,0.01,0.67,7.3
103,Just Dance,26,2009,4,533,3.51,3.03,0,0.73,7.27
104,Battlefield 3,18,2011,9,139,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,17,2003,7,139,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,16,1998,3,465,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,16,1998,5,465,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,8,2001,3,369,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,27,2014,7,369,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,19,2015,8,65,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,8,2003,7,369,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,26,2012,4,533,4.14,2.21,0,0.56,6.91
113,FIFA 14,18,2013,11,139,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,17,2004,7,139,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,17,2002,9,139,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,18,2011,1,465,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,16,1996,5,465,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,26,2010,11,7,3.5,2.64,0,0.67,6.81
119,Gears of War 2,29,2008,9,328,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,18,2009,1,465,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,18,2007,9,17,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,18,2011,11,139,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,5,2005,4,369,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,18,2010,1,499,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,19,2014,11,139,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,26,2010,5,369,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,18,2011,8,65,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,12,1986,1,369,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,18,2012,1,533,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,30,2001,9,328,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,7,2004,8,369,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,17,2002,8,465,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,6,2000,8,369,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,29,2009,9,328,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,29,2010,1,499,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,8,2002,5,369,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,24,1992,3,82,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,14,2004,8,17,0.07,6.21,0,0,6.28
139,Driver,16,1999,1,209,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,29,2010,11,328,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,29,2011,9,328,4.05,1.62,0.07,0.49,6.24
142,Gears of War,29,2006,9,328,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,17,2001,1,282,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,9,1992,5,453,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,18,2008,1,282,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,16,1998,1,282,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,18,2013,1,467,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,17,2006,8,475,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,18,2008,5,465,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,5,2009,8,369,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,26,2007,1,296,3.66,1.63,0,0.53,5.83
152,Resident Evil 2,16,1998,1,553,1.88,1.47,2.02,0.45,5.82
